,originalLocation,position,x,y,z
648,H-20-11,"218, 540, 1",218,540,1
649,H-20-12,"202, 540, 1",202,540,1
650,H-20-13,"186, 540, 1",186,540,1
656,H-22-11,"168, 540, 1",168,540,1
657,H-22-12,"152, 540, 1",152,540,1
658,H-22-13,"136, 540, 1",136,540,1
664,H-24-11,"118, 540, 1",118,540,1
665,H-24-12,"102, 540, 1",102,540,1
666,H-24-13,"86, 540, 1",86,540,1
672,I-01-11,"666, 720, 1",666,720,1
673,I-01-12,"650, 720, 1",650,720,1
674,I-01-13,"634, 720, 1",634,720,1
680,I-02-11,"666, 778, 1",666,778,1
681,I-02-12,"650, 778, 1",650,778,1
682,I-02-13,"634, 778, 1",634,778,1
688,I-03-11,"616, 720, 1",616,720,1
689,I-03-12,"600, 720, 1",600,720,1
690,I-03-13,"584, 720, 1",584,720,1
696,I-04-11,"616, 778, 1",616,778,1
697,I-04-12,"600, 778, 1",600,778,1
698,I-04-13,"584, 778, 1",584,778,1
704,I-05-11,"566, 720, 1",566,720,1
705,I-05-12,"550, 720, 1",550,720,1
706,I-05-13,"534, 720, 1",534,720,1
712,I-06-11,"566, 778, 1",566,778,1
713,I-06-12,"550, 778, 1",550,778,1
714,I-06-13,"534, 778, 1",534,778,1
720,I-07-11,"516, 720, 1",516,720,1
721,I-07-12,"500, 720, 1",500,720,1
722,I-07-13,"484, 720, 1",484,720,1
728,I-08-11,"516, 778, 1",516,778,1
729,I-08-12,"500, 778, 1",500,778,1
730,I-08-13,"484, 778, 1",484,778,1
736,I-09-11,"466, 720, 1",466,720,1
737,I-09-12,"450, 720, 1",450,720,1
738,I-09-13,"434, 720, 1",434,720,1
744,I-10-11,"466, 778, 1",466,778,1
745,I-10-12,"450, 778, 1",450,778,1
746,I-10-13,"434, 778, 1",434,778,1
752,I-13-11,"368, 572, 1",368,572,1
753,I-13-12,"352, 572, 1",352,572,1
754,I-13-13,"336, 572, 1",336,572,1
760,I-14-11,"368, 688, 1",368,688,1
761,I-14-12,"352, 688, 1",352,688,1
762,I-14-13,"336, 688, 1",336,688,1
768,I-15-11,"318, 572, 1",318,572,1
769,I-15-12,"302, 572, 1",302,572,1
770,I-15-13,"286, 572, 1",286,572,1
776,I-16-11,"318, 688, 1",318,688,1
777,I-16-12,"302, 688, 1",302,688,1
778,I-16-13,"286, 688, 1",286,688,1
784,I-17-11,"268, 572, 1",268,572,1
785,I-17-12,"252, 572, 1",252,572,1
786,I-17-13,"236, 572, 1",236,572,1
792,I-18-11,"268, 688, 1",268,688,1
793,I-18-12,"252, 688, 1",252,688,1
794,I-18-13,"236, 688, 1",236,688,1
800,I-19-11,"218, 572, 1",218,572,1
801,I-19-12,"202, 572, 1",202,572,1
802,I-19-13,"186, 572, 1",186,572,1
808,I-20-11,"218, 688, 1",218,688,1
809,I-20-12,"202, 688, 1",202,688,1
810,I-20-13,"186, 688, 1",186,688,1
816,I-21-11,"168, 572, 1",168,572,1
817,I-21-12,"152, 572, 1",152,572,1
818,I-21-13,"136, 572, 1",136,572,1
824,I-22-11,"168, 688, 1",168,688,1
825,I-22-12,"152, 688, 1",152,688,1
826,I-22-13,"136, 688, 1",136,688,1
832,I-23-11,"118, 572, 1",118,572,1
833,I-23-12,"102, 572, 1",102,572,1
834,I-23-13,"86, 572, 1",86,572,1
840,I-24-11,"118, 688, 1",118,688,1
841,I-24-12,"102, 688, 1",102,688,1
842,I-24-13,"86, 688, 1",86,688,1
848,J-01-11,"666, 810, 1",666,810,1
849,J-01-12,"650, 810, 1",650,810,1
850,J-01-13,"634, 810, 1",634,810,1
856,J-02-11,"666, 868, 1",666,868,1
857,J-02-12,"650, 868, 1",650,868,1
858,J-02-13,"634, 868, 1",634,868,1
864,J-03-11,"616, 810, 1",616,810,1
865,J-03-12,"600, 810, 1",600,810,1
866,J-03-13,"584, 810, 1",584,810,1
872,J-04-11,"616, 868, 1",616,868,1
873,J-04-12,"600, 868, 1",600,868,1
874,J-04-13,"584, 868, 1",584,868,1
880,J-05-11,"566, 810, 1",566,810,1
881,J-05-12,"550, 810, 1",550,810,1
882,J-05-13,"534, 810, 1",534,810,1
888,J-06-11,"566, 868, 1",566,868,1
889,J-06-12,"550, 868, 1",550,868,1
890,J-06-13,"534, 868, 1",534,868,1
896,J-07-11,"516, 810, 1",516,810,1
897,J-07-12,"500, 810, 1",500,810,1
898,J-07-13,"484, 810, 1",484,810,1
904,J-08-11,"516, 868, 1",516,868,1
905,J-08-12,"500, 868, 1",500,868,1
906,J-08-13,"484, 868, 1",484,868,1
912,J-09-11,"466, 810, 1",466,810,1
913,J-09-12,"450, 810, 1",450,810,1
914,J-09-13,"434, 810, 1",434,810,1
920,J-10-11,"466, 868, 1",466,868,1
921,J-10-12,"450, 868, 1",450,868,1
922,J-10-13,"434, 868, 1",434,868,1
928,J-13-11,"368, 720, 1",368,720,1
