,Location,XYZCOD,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
52,J-13-13,X,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5,KUFVRI,10.5
53,I-15-21,X,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0,05W6TK,11.0
54,H-08-12,X,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0,KUFVRI,10.0
55,J-09-21,X,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0,6M2FJM,10.0
56,J-13-23,X,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0,AKP0A7,10.0
57,H-16-12,X,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0,XUZJ74,10.0
58,H-08-22,X,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0,AKP0A7,11.0
59,H-16-22,X,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0,2T1DJM,9.0
60,I-07-12,X,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0,AHR20O,9.0
61,I-08-13,X,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0,XUZJ74,11.0
